postalcode;street;lat;lng;price;area;volume;floors;year_build;has_garden;type;photos;rooms
1067 NT Amsterdam;Bartholt Enthesstraat 41;5.237.595;4.802.481;275000;100;285;3;1981;1;woonhuis;25;5
1015 DT Amsterdam;Prinsengracht 197 -F;5.237.747;4.886.078;975000;161;282;2;1906;0;appartement;26;4
1012 DC Amsterdam;Oudezijds Achterburgwal 79 F;5.237.284;4.898.554;585000;96;330;2;1800;0;appartement;29;3
1104 GA Amsterdam;Kantershof 20;5.232.021;4.984.468;157750;55;125;1;1974;1;woonhuis;15;2
1095 AW Amsterdam;Molukkenstraat 63 lll;5.236.411;4.939.758;485000;102;343;4;1916;0;appartement;21;4
1083 GR Amsterdam;Arent Janszoon Ernststraat 61;5.233.178;4.888.917;430000;109;346;12;1960;0;appartement;17;3
1072 GT Amsterdam;Rustenburgerstraat 371 2-Voor;5.235.146;4.892.419;195000;30;85;1;1905;0;appartement;12;2
1077 GD Amsterdam;Bachstraat 11;523.493;487.997;4000000;400;1150;4;1906;1;woonhuis;32;9
1022 AD Amsterdam;Zamenhofstraat 60;523.881;4.927.662;225000;50;190;2;1918;1;appartement;30;2
1068 WX Amsterdam;Nicolaas Anslijnstraat 144;523.575;480.813;195000;81;200;2;1963;0;appartement;19;3
1061 MJ Amsterdam;Willem Augustinstraat 151;5.237.319;4.840.655;325000;98;310;1;2013;0;appartement;35;3
1057 CW Amsterdam;Hoofdweg 239 3;5.236.698;485.228;399000;82;213;2;1924;0;appartement;25;3
1052 ND Amsterdam;De Clercqstraat 14 I;5.237.177;4.873.296;325000;67;238;1;1906;0;appartement;32;3
1091 JR Amsterdam;Iepenplein 62;5.235.608;4.914.371;250000;52;140;1;1979;0;appartement;19;2
1060 SH Amsterdam;Dinarpromenade 13;5.234.677;4.783.607;225000;73;198;3;1998;0;appartement;23;2
1106 XR Amsterdam;Opijnenhof 49;522.956;496.715;149500;70;190;3;1976;0;appartement;12;3
1019 DV Amsterdam;Rietlandpark;5.237.371;4.934.854;30000;0;0;1;0;0;parkeergelegenheid;2;1
1060 PG Amsterdam;Marmolada 40;5.235.006;4.775.958;300000;117;362;3;1998;1;woonhuis;29;5
1017 XL Amsterdam;Frederiksplein 47 -III;5.236.045;4.901.188;675000;94;474;2;1906;0;appartement;22;4
1055 RD Amsterdam;Willem de Zwijgerlaan 334 C6;5.238.093;4.860.915;140000;32;145;1;1959;0;appartement;13;1
1053 TA Amsterdam;Schimmelstraat 3 A*;5.236.878;4.866.604;950000;161;536;2;1900;1;appartement;25;6
1087 DA Amsterdam;Henri Berssenbruggehof 6 *;5.235.827;4.993.192;500000;121;408;2;2001;1;woonhuis;42;5
1012 NG Amsterdam;Nieuwe Nieuwstraat 25 II;5.237.526;4.892.926;275000;50;166;1;1905;0;appartement;26;2
1063 BM Amsterdam;Burgemeester De Vlugtlaan 251;5.238.171;4.818.204;185000;60;200;1;1958;0;appartement;21;2
1052 BH Amsterdam;Eerste Nassaustraat 34 -2V;5.238.366;487.884;250000;39;133;1;1886;0;appartement;20;2
1069 ED Amsterdam;Langswater 438;5.235.651;4.789.154;149000;60;180;13;1960;0;appartement;10;3
1051 PB Amsterdam;Waterspiegelplein 52;5.238.459;4.869.464;0;77;230;1;1997;0;appartement;4;3
1091 DG Amsterdam;'s-Gravesandestraat 108;523.606;491.552;285000;57;154;1;1988;0;appartement;20;2
1054 JP Amsterdam;Overtoom 407 D;5.235.915;4.861.652;325000;57;178;1;1906;0;appartement;24;2
1035 PW Amsterdam;Landsmeerderdijk 20 C;5.241.532;4.898.629;485000;108;302;2;2011;0;appartement;32;3
1054 BD Amsterdam;Derde Helmersstraat 51 -hs/I;5.236.466;4.875.491;670000;109;325;2;1905;1;appartement;34;3
1016 BE Amsterdam;Herengracht 179 -C;5.237.443;4.888.095;750000;94;313;2;1906;0;appartement;16;3
1081 HL Amsterdam;Arent Janszoon Ernststraat 1199;5.233.189;4.862.711;849000;211;659;2;1971;1;woonhuis;44;5
1061 BV Amsterdam;Blauwvoetstraat 16 II;5.237.669;4.839.492;195000;51;140;1;1960;0;appartement;17;3
1093 CN Amsterdam;Wagenaarstraat 175;5.236.321;492.626;630000;115;299;2;2006;1;appartement;29;4
1066 TK Amsterdam;Blankenbergestraat 45;52.347;480.193;219000;64;190;1;1995;0;appartement;19;3
1066 LC Amsterdam;Kinrooistraat 37;523.481;4.812.969;335000;120;480;3;1990;0;woonhuis;37;5
1060 RZ Amsterdam;Eurokade 30;523.481;478.643;375000;142;450;4;1999;1;woonhuis;39;6
1015 JK Amsterdam;Goudsbloemstraat 67;5.238.071;4.884.838;575000;86;252;1;1991;0;appartement;20;3
1056 KZ Amsterdam;Korte Geuzenstraat 700 nr. 10;5.237.094;4.864.995;68000;0;27;1;1942;0;appartement;16;1
1071 RD Amsterdam;Nicolaas Maesstraat 80 III;5.235.452;4.879.382;975000;130;390;2;1903;0;appartement;30;3
1075 RE Amsterdam;Lomanstraat 68 III/IV;5.235.122;4.859.163;850000;125;440;2;1906;0;appartement;32;4
1094 JZ Amsterdam;Eerste Atjehstraat 21 I;5.236.254;4.932.762;250000;55;148;4;1985;0;appartement;19;3
1066 JN Amsterdam;Laan van Vlaanderen 267;523.448;4.810.257;359500;113;385;3;1993;1;woonhuis;24;4
1012 ES Amsterdam;Oudezijds Voorburgwal 145 A;523.725;4.897;895000;165;500;1;1896;0;appartement;35;3
1073 SB Amsterdam;Tolstraat 40;5.235.156;4.899.451;499000;85;277;5;2005;1;appartement;33;3
1068 PM Amsterdam;Oeverpad;5.236.375;4.808.273;14950;0;0;1;0;0;parkeergelegenheid;7;1
1073 GV Amsterdam;Lutmastraat 145 -C;5.235.144;4.900.521;285000;55;150;1;1989;0;appartement;27;2
1071 PJ Amsterdam;De Lairessestraat 90 -III-M;5.235.399;4.872.607;1250000;140;509;1;1906;0;appartement;25;3
1059 TK Amsterdam;Westlandgracht 185 1;5.235.005;484.619;295000;57;197;1;1935;0;appartement;24;3
1093 NG Amsterdam;Oranje-Vrijstaatplein 18;5.235.666;4.929.833;430000;91;273;4;2013;0;appartement;20;3
1086 VB Amsterdam;Brigantijnkade 48;5.236.374;4.985.453;619000;142;500;2;2011;0;woonhuis;32;4
1016 NA Amsterdam;Rozengracht 221 A;5.237.233;4.877.061;600000;121;377;2;1991;0;appartement;21;3
1065 TP Amsterdam;Ariana Nozemanstraat 13 -I;5.235.537;4.831.694;185000;55;190;1;1955;0;appartement;30;3
1091 TR Amsterdam;Jan Bernardusstraat 15 B;5.234.993;4.913.439;325000;56;180;1;2006;0;appartement;25;2
1016 LS Amsterdam;Rozengracht 51 C;523.733;488.115;299000;57;152;1;1992;0;appartement;25;2
1082 CT Amsterdam;Boeckenburg 33;5.232.616;4.874.775;249000;67;200;1;1963;0;appartement;12;3
1054 MR Amsterdam;Brederodestraat 41 huis;5.236.156;4.865.899;400000;68;231;1;1901;1;appartement;17;2
1082 EL Amsterdam;Zuid-Hollandstraat 78;5.232.685;4.873.985;36000;0;0;1;0;0;parkeergelegenheid;1;1
1093 GB Amsterdam;Eerste Van Swindenstraat 177;5.236.251;4.926.037;298000;70;208;1;1997;0;appartement;24;3
1053 BX Amsterdam;Ten Katestraat 39 -2;5.236.703;4.866.962;235000;43;150;1;1895;0;appartement;21;2
1017 JZ Amsterdam;Prinsengracht 761;5.236.346;4.887.354;2500000;173;519;1;1960;0;appartement;13;3
1077 KP Amsterdam;Willem Kesstraat 1 II;523.438;4.876.113;585000;111;300;1;1955;0;appartement;35;4
1028 BT Amsterdam;Durgerdammergouw 2;5.239.057;4.995.684;800000;215;645;3;1906;1;woonhuis;57;9
1056 JP Amsterdam;Willem de Zwijgerlaan 217 -3;523.772;4.862.557;550000;100;326;2;1934;0;appartement;26;4
1015 DV Amsterdam;Prinsengracht 14 M;5.238.022;4.887.739;359000;0;0;1;0;0;onbekend;1;1
1092 CW Amsterdam;Derde Oosterparkstraat 147 C;5.235.742;4.919.923;585000;96;252;1;2011;0;appartement;27;3
1011 JH Amsterdam;Zwanenburgwal 266;523.679;4.898.265;650000;101;316;2;1906;0;appartement;24;4
1016 KW Amsterdam;Bloemstraat 47;5.237.403;4.881.083;49000;0;0;1;0;0;parkeergelegenheid;4;1
1061 WB Amsterdam;Wijnand Nuijenstraat 54;5.236.712;4.841.413;280000;86;277;1;2006;0;appartement;20;3
1015 GN Amsterdam;Lijnbaansgracht 14 1;5.238.241;4.882.409;189000;24;82;4;1906;0;appartement;9;2
1053 ZK Amsterdam;Da Costastraat 115 II;523.675;487.533;259500;45;120;1;1900;0;appartement;8;2
1082 HZ Amsterdam;Van Nijenrodeweg 647 A;5.232.754;4.873.307;40000;0;0;1;0;0;parkeergelegenheid;6;1
1091 VM Amsterdam;Tugelaweg 72 II;5.235.513;4.919.137;245000;54;179;1;1930;0;appartement;23;3
1012 NC Amsterdam;Sint Jacobsstraat 1 D;523.764;48.959;385000;65;225;1;1906;1;appartement;29;3
1056 SR Amsterdam;Vespuccistraat 104 hs;5.237.251;4.853.034;315000;58;170;1;1925;1;appartement;19;3
1055 ER Amsterdam;Baetostraat 10 ll;5.237.913;4.848.376;225000;59;185;4;1940;0;appartement;25;3
1077 EV Amsterdam;Leonardostraat 10 hs;5.234.898;4.868.054;1480000;228;638;2;1928;1;appartement;28;8
1071 ZK Amsterdam;Van Breestraat 111;5.235.583;487.305;2195000;266;771;1;1906;1;woonhuis;66;11
1018 BC Amsterdam;Tussen Kadijken 8 A;5.236.936;4.914.626;700000;133;461;3;1743;1;appartement;34;5
1069 PA Amsterdam;Willy La Croixstraat 10;5.235.308;4.782.507;350000;110;300;2;1990;1;woonhuis;32;5
1102 TD Amsterdam;Boris Pasternakstraat 351;5.231.827;4.943.329;104950;45;112;4;1980;0;appartement;11;2
1017 LC Amsterdam;Prinsengracht 736 A*;523.614;4.895.291;650000;100;330;1;1906;0;appartement;18;3
1091 GC Amsterdam;Mauritskade 18 L;5.236.089;4.912.796;199000;39;99;1;1989;0;appartement;1;2
1087 Amsterdam;Erich Salomonstraat;5.235.863;4.992.625;12500;0;0;1;0;0;parkeergelegenheid;7;1
1018 VS Amsterdam;Nieuwe Prinsengracht 48 -III+IV;5.236.346;4.907.703;650000;126;433;2;1890;1;appartement;25;4
1093 CN Amsterdam;Wagenaarstraat 407 huis;5.236.382;4.928.794;350000;72;224;1;1982;1;appartement;24;3
1068 PH Amsterdam;Oeverpad 186;5.236.519;4.807.521;275000;80;235;1;2007;0;appartement;32;3
1091 CW Amsterdam;Blasiusstraat 92 C;5.235.714;4.911.747;319000;57;137;1;2013;0;appartement;21;3
1068 SL Amsterdam;Wildeman 101;523.625;4.798.528;198000;71;224;1;2000;0;appartement;22;3
1019 HG Amsterdam;Zeeburgerkade 34;5.236.918;4.940.676;375000;89;306;1;1898;0;appartement;22;3
1098 LH Amsterdam;Helmholtzstraat 91 II;5.234.884;4.941.395;250000;70;182;1;1960;0;appartement;20;3
1098 LZ Amsterdam;Galileïplantsoen 121;5.235.512;4.941.552;780000;150;511;4;1933;0;appartement;29;7
1068 NA Amsterdam;Hoekenes 98;5.235.173;4.803.135;595000;150;450;2;1971;1;woonhuis;31;5
1106 SZ Amsterdam;Parkhof 77;5.229.662;4.980.806;338000;156;544;3;1993;1;woonhuis;8;6
1060 RG Amsterdam;Ladogameerhof 267;5.234.954;4.783.673;245000;91;270;1;2000;0;appartement;31;2
1094 HE Amsterdam;Javastraat 137 4;5.236.391;4.937.722;215000;37;153;1;1913;0;appartement;1;1
1078 NJ Amsterdam;Rooseveltlaan 28 hs;5.234.524;4.901.824;700000;100;352;1;1934;1;appartement;29;4
